Feature,RF_5:5,LGBM_5:5,XGB_5:5,Cat_5:5,RF_6:4,LGBM_6:4,XGB_6:4,Cat_6:4,RF_7:3,LGBM_7:3,XGB_7:3,Cat_7:3,RF_8:2,LGBM_8:2,XGB_8:2,Cat_8:2,RF_9:1,LGBM_9:1,XGB_9:1,Cat_9:1,Ultimate_Consensus (%)
avg_price_5km,64.84,50.4,53.79,36.29,64.76,50.73,53.83,36.05,64.91,50.6,52.93,34.53,64.71,51.02,53.02,37.86,65.02,52.01,53.05,37.25,51.38
median_income,16.38,11.26,12.35,13.31,17.19,11.92,12.98,13.55,17.22,11.49,12.92,14.11,17.52,11.43,12.72,14.93,16.86,11.33,12.69,14.58,13.84
population_per_household,4.72,6.65,6.23,7.99,4.85,6.63,6.2,7.57,4.84,6.74,6.35,8.08,4.98,6.77,6.46,7.74,4.99,6.81,6.51,7.99,6.45
rooms_per_household,3.18,5.79,4.92,3.92,2.69,5.29,4.77,3.85,2.67,5.69,4.52,4.05,2.42,5.29,4.61,4.52,2.49,5.16,4.61,4.42,4.24
bedrooms_per_room,2.66,3.86,3.76,6.12,2.21,3.68,3.38,5.8,2.28,3.78,3.68,5.54,2.2,3.9,3.77,4.49,2.31,3.98,3.73,4.89,3.8
luxury_density_score,0.85,2.14,1.62,4.5,1.04,2.39,1.99,4.21,1.15,2.57,2.35,5.24,1.29,2.56,2.62,2.95,1.32,2.38,2.44,3.79,2.47
dist_to_nearest_major_city,1.2,2.52,2.63,3.28,1.25,2.27,2.46,3.76,1.0,2.67,2.32,3.46,1.1,2.46,2.16,3.61,1.12,2.56,2.46,3.19,2.37
housing_median_age,0.99,1.99,1.91,2.28,1.03,2.08,1.99,2.35,1.04,1.99,2.0,2.27,1.19,2.04,2.09,2.23,1.3,2.11,2.12,2.21,1.86
median_income_10nn,0.64,1.51,1.24,3.93,0.63,1.47,1.15,4.34,0.53,1.59,1.13,4.35,0.57,1.46,1.18,3.1,0.48,1.25,1.09,2.8,1.72
longitude,0.53,2.14,1.67,1.45,0.5,2.04,1.83,1.65,0.62,2.12,2.03,1.61,0.56,2.23,1.74,2.1,0.51,2.33,1.82,2.06,1.58
wealth_ratio,1.14,1.49,1.55,2.09,1.07,1.38,1.42,1.89,1.11,1.36,1.25,2.2,0.93,1.27,1.22,1.91,1.17,1.32,1.16,1.84,1.44
latitude,0.54,2.24,1.78,1.44,0.5,1.99,1.62,1.3,0.45,1.78,1.69,1.33,0.44,1.79,1.55,1.66,0.45,2.12,1.73,1.56,1.4
total_rooms,0.56,1.5,1.2,1.47,0.53,1.8,1.34,1.71,0.47,1.5,1.11,1.38,0.45,1.53,1.17,2.09,0.41,1.47,1.16,2.28,1.26
dist_to_real_hospital_km,0.29,1.04,0.82,2.32,0.3,0.83,0.75,2.41,0.31,0.84,0.67,2.33,0.29,0.91,1.12,2.56,0.3,0.66,0.8,2.28,1.09
ocean_proximity_INLAND,0.11,0.99,0.65,1.51,0.12,1.08,0.63,1.31,0.1,1.21,0.85,2.57,0.13,1.48,1.05,1.9,0.14,1.18,1.03,2.61,1.03
dist_to_real_school_km,0.19,0.68,0.85,2.76,0.18,0.85,0.78,2.39,0.16,0.78,0.93,1.98,0.15,0.86,0.76,2.03,0.13,0.64,0.93,2.2,1.01
dist_to_real_supermarket_km,0.18,0.64,0.51,1.36,0.18,0.87,0.58,1.33,0.16,0.82,0.8,1.14,0.16,0.73,0.55,0.96,0.18,0.57,0.55,1.34,0.68
ocean_proximity__1H OCEAN,0.24,0.64,0.59,1.7,0.14,0.44,0.35,2.06,0.19,0.51,0.43,1.6,0.15,0.52,0.39,0.61,0.2,0.45,0.37,0.42,0.6
total_bedrooms,0.24,1.01,0.65,0.59,0.23,0.74,0.6,0.69,0.23,0.57,0.57,0.51,0.21,0.5,0.49,0.6,0.18,0.37,0.45,0.52,0.5
population,0.21,0.43,0.64,0.5,0.21,0.46,0.65,0.61,0.22,0.35,0.69,0.43,0.18,0.36,0.55,0.57,0.16,0.29,0.53,0.5,0.43
households,0.18,0.61,0.44,0.51,0.21,0.49,0.41,0.49,0.18,0.37,0.5,0.64,0.18,0.21,0.46,0.6,0.15,0.29,0.51,0.45,0.39
ocean_proximity_NEAR OCEAN,0.04,0.38,0.15,0.68,0.04,0.41,0.18,0.66,0.04,0.53,0.19,0.62,0.04,0.56,0.21,0.87,0.04,0.6,0.18,0.75,0.36
ocean_proximity_NEAR BAY,0.08,0.08,0.06,0.03,0.13,0.16,0.08,0.02,0.15,0.15,0.1,0.04,0.16,0.13,0.1,0.12,0.09,0.13,0.09,0.06,0.1
ocean_proximity_ISLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
